k1 k2
8.007146818158539237e-02 -1.631005633691104406e-02
7.955692725396498743e-02 -1.643200656748873556e-02
7.928730231750555357e-02 -1.715759380816626878e-02
7.947628309990573126e-02 -1.674874833296588483e-02
8.058383146823855370e-02 -1.434081964419654798e-02
8.133662784573911231e-02 -1.561176764650465398e-02
7.849071338538632370e-02 -1.756126174838011644e-02
7.922689457299708637e-02 -1.687146505098949256e-02
8.043084645218756545e-02 -1.675779135093023731e-02
8.081502070544743788e-02 -1.652238903501654366e-02
8.055632496082276717e-02 -1.493129401175238846e-02
7.989442956402922902e-02 -1.767757037978247292e-02
7.941134758824616724e-02 -1.628500588958417539e-02
7.989186401511919056e-02 -1.638731573056287361e-02
7.947026574567575552e-02 -1.383778517260239593e-02
7.981512218879366349e-02 -1.642533973758684984e-02
7.947628309990573126e-02 -1.674874833296588483e-02
7.988331010879445859e-02 -1.569717834022292535e-02
8.018062597783587320e-02 -1.769813527993854829e-02
7.846068397288494256e-02 -1.580711473640286635e-02
7.991559852521337715e-02 -1.668883242749831519e-02
8.003842819842260647e-02 -1.788037836209468989e-02
7.952310434371628878e-02 -1.732469411664641634e-02
8.042569834949600538e-02 -1.605381575895195589e-02
8.061669868691259677e-02 -1.579984066948444954e-02
7.898877882386126648e-02 -1.708137435625567413e-02
7.926957930889702575e-02 -1.747138591227911930e-02
7.991120480139662918e-02 -1.566400687833988115e-02
7.991035083134120920e-02 -1.651694395782679625e-02
7.992894916816045692e-02 -1.632557665503642230e-02
7.998944737930493987e-02 -1.592991625309006509e-02
8.099935399600827202e-02 -1.424557296121491123e-02
7.933858371996360681e-02 -1.653970689775095815e-02
7.884830902685788234e-02 -1.729497176406827319e-02
7.914616363655119224e-02 -1.675216615501720629e-02
7.946455309020916680e-02 -1.650092536207589666e-02
7.992118950271395739e-02 -1.515033376579401347e-02
7.893076985869870721e-02 -1.640520153991156804e-02
7.978922146533656834e-02 -1.566234682863054672e-02
7.980231734307485780e-02 -1.579165254015910125e-02
8.067069505521817785e-02 -1.672837846667050987e-02
7.980451251146117309e-02 -1.730158396531258913e-02
7.884789840706299402e-02 -1.740339752890289471e-02
7.970981414389724518e-02 -1.576755882660894892e-02
7.990152008770623482e-02 -1.608228949579124101e-02
