,theta0,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15
4183,2.74368327976247,0.565701850626574,1.48599338774535,0.123968066829281,-1.5769394897242,1.11278948024462,-0.571957384990198,-0.216781973438999,-1.78763682264354,-0.305958101096472,2.07067556594319,1.87356003556695,-2.35600050881058,-0.966251024694413,0.859834246484673,-1.31022294355169
4184,2.75570507664163,0.436068005307339,1.26214965794783,0.216804443998394,-1.65334512854507,1.17265497666814,-0.661529421738994,-0.147596851671803,-1.93743475629672,-0.300085672079019,2.21875023514121,1.75794882240366,-2.19515280513036,-0.902706311518545,1.07641754161169,-1.30565274210498
4185,2.12383032225936,0.246018190560069,0.881022197835238,-0.01761352969172689,-2.11489474178196,0.761170593051594,-0.875050838209466,-0.354599825337983,-2.56975550172221,-0.651697169509892,1.58846921325817,1.19485960172639,2.97322242479631,-1.49204284954691,0.486773437655023,-1.72335710238509
4186,2.01109784088621,0.03600376217612214,0.733962705732686,-0.150836995472736,-2.41459246202727,0.638995380542443,-1.06820091999764,-0.544835844514026,-3.01186744996483,-0.768415628382672,1.66795445713828,1.11916584077441,2.51967776874849,-1.29740007137795,0.298554990572382,-1.76160917511884
4187,2.41527014195681,0.163123653255951,1.13435635302711,-0.159049998742692,-1.76529868963261,1.01302396369593,-0.867649733964623,-0.323092837768068,-2.61267678330438,-0.612961382430264,1.78619865628826,1.37889143309488,2.96599378940842,-1.21316596353991,0.494597055139905,-1.26192500545613
4188,2.05948899930051,0.190450942174482,1.28658246329086,-0.07222587997826958,-1.64746032160614,1.10201984327579,-0.799861855842705,-0.333676139347098,-2.4291752995807,-0.559355360460946,1.89446294241275,1.62753950236234,-2.99155804480714,-1.06765362403135,0.47008545415763,-1.55228316322182
4189,2.19847309781971,0.09454299049674654,0.919934257079216,0.03330760443631692,-2.16661141356709,0.581940615353518,-0.924746449061054,-0.360526376929826,-2.69819671834468,-0.523916127660066,1.94380043366566,1.4921268712128,2.91372838091418,-1.18681699112883,0.393981523236172,-1.39635229840818
4190,1.86903928182314,-0.03415687491096322,0.971553197056128,-0.116453598990131,-2.27705233129038,0.6970947440286,-1.06513102516249,-0.520052721525906,-2.83546351739129,-0.702753034579161,1.58624845805825,1.30814299006292,2.6413095979854,-1.37981769107432,0.348877338657122,-1.62935447721024
4191,2.06899902484523,0.05083781488830853,0.921107355308823,-0.126861938596603,-2.21562118415862,0.583429611151911,-1.00767825071869,-0.432924270495501,-2.84012903690974,-0.817777342248156,1.57815456022159,1.28706874876002,2.42015700021994,-1.40369511298578,0.288617450808767,-1.78076928582519
4192,1.80102025634299,-0.349888976521313,0.681448307854188,-0.469315014774051,-2.84304481731314,0.500552170973148,-1.36209812869914,-0.575716290283116,2.60699126478386,-0.914997691145015,1.1320816313581,0.905436879432878,2.03120624679904,-1.65021065145931,0.03965611603750394,-2.18174681522559
